"name","nb_groupes"
piracy,1
pirate,1
piraterie,1
baroque,1
utopism,1
pop française,1
pop hardcore,1
vampyrism,1
pop rap,1
band,1
pop/rock,1
popindie,1
vanille fraise,1
post black metal,1
post black-metal,1
vgm,1
balfolk,1
bal folk,1
post-grunge,1
avantgarde,1
avant-garde pop,1
avant-garde jazz,1
avant-folk,1
post-screamo,1
postrock,1
video game,1
power electronics,1
atmospheric/doom-metal,1
power pop,1
power rock,1
atmospheric rock,1
power violence,1
powers of nature,1
powerviolence,1
problematic last.fm scrobbling,1
producer,1
producteur,1
profanation,1
atmospheric death metal,1
progressive black metal,1
atheism,1
progressive electronic,1
zouk,1
progressive house,1
atavism,1
progressive roc,1
artificial language,1
progressive/black/death-metal,1
prostitution,1
psych rock,1
psychedelia,1
art,1
viking rock,1
viking wars,1
archetypal,1
archaism,1
psychology,1
psytrance,1
arabic,1
apocalypse,1
qosmonaut,1
queer punk,1
quiet storm,1
vikingarock,1
rac,1
radiohead,1
"70s",1
ragga hip-hop,1
vjing,1
raggatek,1
anti-urbanism,1
anti-nomianism,1
vocal jazz,1
anti-modernism,1
rare groove,1
ravens,1
anti-humanity,1
ray mond,1
raï,1
rebelles européens,1
anti-fascism,1
reggae-pop,1
reggae-punk,1
anti-christ,1
retaliation,1
retro-futuriste,1
retrowave,1
rif,1
riot,1
void,1
riot punk,1
annecy,1
rock & roll,1
voodoo,1
rock and roll,1
rock burné,1
rock festif,1
rock français,1
rock fusion,1
rock identitaire français,1
waiting for the prophet,1
rock progressif,1
rock rap,1
rock'n'drôle,1
rock'n'roll,1
rockabilly,1
"360",1
rub-a-dub,1
rumba,1
rumba catalana,1
rumba flamenca,1
sadism,1
animism,1
sarcasm,1
wild wild karnivor black metal dark metal death metal divers gothique hard rock hard rock metal heavy metal metal metal progressif speed metal thrash mp3 album,1
anguish,1
scandinavian mythology,1
score,1
scorn,1
anger,1
seen live,1
self-discovery,1
self-mutilation,1
self-titled,1
sex,1
sexuality,1
seythenex,1
shattergod,1
ange,1
silly name,1
sillyname,1
sixties,1
