idINSPIRE,part_surface_pietonne,part_vegetation,ratio_hl_bati_rues,part_routes_lentes,part_routes_inaccessibles_vl,part_parcs,marche_ratio_emplois,marche_ratio_services_dom_moyenne,part_surface_cyclable,part_normalise_surface_couverte_stations_velos,part_routes_interdites_pl,part_routes_pavees,pente_moyenne_absolue,part_normalise_couverte_stations_rep_velos,velos_ratio_emplois,velos_ratio_services_dom_moyenne,att_moy_semaine_bus,cout_horaire_bus,ratio_arrets_pr_bus,ratio_arrets_autopartage_bus,part_routes_bus,part_batie_autour_arrets_bus,att_moy_semaine_tram,cout_horaire_tram,ratio_arrets_pr_tram,ratio_arrets_autopartage_tram,part_routes_tram,part_batie_autour_arrets_tram,part_sens_unique,part_zfe,nb_feux_circulation,places_stationnement_par_habitant,cout_moyen_stationnement,bornes_ve_par_habitant,part_normalise_couverte_autopartage,autopartage_cout_rapport_revenu,part_routes_accessibles_vl,part_surface_geofencing_citiz,autopartage_ratio_emplois,autopartage_ratio_services_dom_moyenne,HSMI_global,HEMI,part_marche,part_velos,part_communs,part_vl,part_surface_bruit_53db,part_surface_transport,nb_accidents_circulation
CRS3035RES200mN2826400E4154600,70.66,83.46,-1.0,100.0,100.0,0.0,0.0005924896018074883,0.0,70.66,0.0,18.63,0.0,0.02,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5.35,0
CRS3035RES200mN2826200E4154600,72.56,77.85,-1.0,100.0,100.0,0.0,0.0,0.0,72.56,0.0,42.36,0.0,0.06,0.0,0.01208678787687276,0.0088401744,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5.29,0
CRS3035RES200mN2826000E4154600,70.47,83.09,-1.0,100.0,100.0,0.0,0.0012442281637957255,0.0003075031,70.47,0.0,59.23,0.0,0.13,0.0,0.012138136975696077,0.0100226829,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.46,0
CRS3035RES200mN2825800E4154600,47.74,89.45,-1.0,100.0,100.0,0.0,0.0012442281637957255,0.0003075031,47.74,0.0,68.46,0.0,0.3,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.18,2.68,0
CRS3035RES200mN2825600E4154600,70.94,84.19,-1.0,100.0,100.0,0.0,0.0006517385619882371,0.0003075031,70.94,0.0,71.32,0.0,0.01,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.37,3.97,0
CRS3035RES200mN2825400E4154600,87.95,90.62,-1.0,100.0,100.0,0.0,0.0012442281637957255,0.0003075031,87.95,0.0,11.76,0.0,0.09,0.0,0.017557441866895236,0.0094491861,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.61,6.31,0
CRS3035RES200mN2825200E4154600,83.28,84.19,-1.0,100.0,100.0,0.0,0.0006517385619882371,0.0003075031,83.28,0.0,20.03,0.0,0.09,0.0,0.013413964584921535,0.0089271688,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5.86,0
CRS3035RES200mN2825000E4154600,69.14,83.46,-1.0,100.0,100.0,0.0,0.0,0.0,69.14,0.0,14.83,0.0,0.01,0.0,0.007536467734991251,0.0054437828,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.43,0
CRS3035RES200mN2824800E4154600,48.96,77.85,-1.0,100.0,100.0,0.0,0.0,0.0,48.96,0.0,56.23,0.0,0.01,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3.17,0
CRS3035RES200mN2824600E4154600,35.38,83.09,-1.0,100.0,100.0,0.0,0.0,0.0,35.38,0.0,100.0,0.0,0.47,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.87,0
CRS3035RES200mN2824400E4154600,24.63,77.85,-1.0,100.0,100.0,0.0,0.0,0.0,24.63,0.0,57.39,0.0,0.33,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.28,0
