idINSPIRE,part_surface_pietonne,part_vegetation,ratio_hl_bati_rues,part_routes_lentes,part_routes_inaccessibles_vl,part_parcs,marche_ratio_emplois,marche_ratio_services_dom_moyenne,part_surface_cyclable,part_normalise_surface_couverte_stations_velos,part_routes_interdites_pl,part_routes_pavees,pente_moyenne_absolue,part_normalise_couverte_stations_rep_velos,velos_ratio_emplois,velos_ratio_services_dom_moyenne,att_moy_semaine_bus,cout_horaire_bus,ratio_arrets_pr_bus,ratio_arrets_autopartage_bus,part_routes_bus,part_batie_autour_arrets_bus,att_moy_semaine_tram,cout_horaire_tram,ratio_arrets_pr_tram,ratio_arrets_autopartage_tram,part_routes_tram,part_batie_autour_arrets_tram,part_sens_unique,part_zfe,nb_feux_circulation,places_stationnement_par_habitant,cout_moyen_stationnement,bornes_ve_par_habitant,part_normalise_couverte_autopartage,autopartage_cout_rapport_revenu,part_routes_accessibles_vl,part_surface_geofencing_citiz,autopartage_ratio_emplois,autopartage_ratio_services_dom_moyenne,HSMI_global,HEMI,part_marche,part_velos,part_communs,part_vl,part_surface_bruit_53db,part_surface_transport,nb_accidents_circulation,sous_indic_access,ind_compose_marche,ind_compose_velos,ind_compose_bus,ind_compose_tram,ind_compose_vl,ind_compose_autopartage,ind_diversite_fonctionnelle,ind_schema_mobilite
CRS3035RES200mN2833600E4140400,0.35,0.29,-1.0,0.18,0.0,0.0,0.0,0.03,0.35,0.0,0.0,1.0,0.87,0.3,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.98,1.0,,0.139,0.362,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2833400E4140400,0.89,0.14,0.92,0.51,0.0,0.0,0.0,0.03,0.89,0.0,0.0,1.0,0.93,0.98,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.67,1.0,0.0,-1.0,-1.0,0.0,0.52,0.11,0.05,0.05,0.84,0.57,0.94,1.0,,0.354,0.486,0.0,0.0,0.5,0.418,0.26,0.16
CRS3035RES200mN2833200E4140400,0.92,0.06,0.9,0.78,0.09,0.0,0.0,0.03,0.92,0.0,0.04,1.0,0.96,1.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.87,0.0,1.0,0.0,1.0,0.0,0.0,0.67,0.91,0.0,-1.0,-1.0,0.0,0.25,0.12,0.02,0.06,0.85,0.61,0.92,1.0,,0.395,0.501,0.0,0.0,0.478,0.395,0.125,0.15
CRS3035RES200mN2833000E4140400,0.82,0.49,0.75,0.88,0.45,0.0,0.0,0.03,0.82,0.0,0.45,0.93,0.94,0.79,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.76,0.0,1.0,0.0,1.0,0.0,0.0,0.67,0.55,0.0,-1.0,-1.0,0.0,0.31,0.1,0.05,0.05,0.86,0.7,0.92,1.0,,0.486,0.518,0.0,0.0,0.46,0.305,0.155,0.14
CRS3035RES200mN2834600E4140600,0.69,0.07,-1.0,1.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,1.0,0.94,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.95,1.0,,0.293,0.324,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834400E4140600,0.33,0.17,-1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,0.81,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.98,1.0,,0.25,0.302,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834200E4140600,0.35,0.38,-1.0,0.87,0.0,0.0,0.0,0.0,0.35,0.0,0.0,1.0,0.92,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.98,1.0,,0.267,0.321,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834000E4140600,0.47,0.44,-1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,1.0,0.95,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.97,1.0,,0.318,0.326,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2833800E4140600,0.33,0.44,-1.0,1.0,0.0,0.0,0.0,0.01,0.33,0.0,0.0,1.0,0.86,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.95,0.98,1.0,,0.296,0.311,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2833600E4140600,0.02,0.37,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.02,0.0,-1.0,-1.0,-1.0,0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.84,1.0,1.0,,0.13,0.35,-1.0,-1.0,0.667,0.223,-1.0,-1.0
